>sample add.cl
A.GetLength(0) = 10,A.GetLength(1) = 5
A.Length = 50
(A <?> B = C)

    0.00 <?>     2.20 =     2.20
    1.00 <?>     2.20 =     3.20
    2.00 <?>     2.20 =     4.20
    3.00 <?>     2.20 =     5.20
    4.00 <?>     2.20 =     6.20
 1000.00 <?>     2.20 =  1002.20
 1001.00 <?>     2.20 =  1003.20
 1002.00 <?>     2.20 =  1004.20
 1003.00 <?>     2.20 =  1005.20
 1004.00 <?>     2.20 =  1006.20
 2000.00 <?>     2.20 =  2002.20
 2001.00 <?>     2.20 =  2003.20
 2002.00 <?>     2.20 =  2004.20
 2003.00 <?>     2.20 =  2005.20
 2004.00 <?>     2.20 =  2006.20
 3000.00 <?>     2.20 =  3002.20
 3001.00 <?>     2.20 =  3003.20
 3002.00 <?>     2.20 =  3004.20
 3003.00 <?>     2.20 =  3005.20
 3004.00 <?>     2.20 =  3006.20
 4000.00 <?>     2.20 =  4002.20
 4001.00 <?>     2.20 =  4003.20
 4002.00 <?>     2.20 =  4004.20
 4003.00 <?>     2.20 =  4005.20
 4004.00 <?>     2.20 =  4006.20
 5000.00 <?>     2.20 =  5002.20
 5001.00 <?>     2.20 =  5003.20
 5002.00 <?>     2.20 =  5004.20
 5003.00 <?>     2.20 =  5005.20
 5004.00 <?>     2.20 =  5006.20
 6000.00 <?>     2.20 =  6002.20
 6001.00 <?>     2.20 =  6003.20
 6002.00 <?>     2.20 =  6004.20
 6003.00 <?>     2.20 =  6005.20
 6004.00 <?>     2.20 =  6006.20
 7000.00 <?>     2.20 =  7002.20
 7001.00 <?>     2.20 =  7003.20
 7002.00 <?>     2.20 =  7004.20
 7003.00 <?>     2.20 =  7005.20
 7004.00 <?>     2.20 =  7006.20
 8000.00 <?>     2.20 =  8002.20
 8001.00 <?>     2.20 =  8003.20
 8002.00 <?>     2.20 =  8004.20
 8003.00 <?>     2.20 =  8005.20
 8004.00 <?>     2.20 =  8006.20
 9000.00 <?>     2.20 =  9002.20
 9001.00 <?>     2.20 =  9003.20
 9002.00 <?>     2.20 =  9004.20
 9003.00 <?>     2.20 =  9005.20
 9004.00 <?>     2.20 =  9006.20

>sample sub.cl
A.GetLength(0) = 10,A.GetLength(1) = 5
A.Length = 50
(A <?> B = C)

    0.00 <?>     2.20 =    -2.20
    1.00 <?>     2.20 =    -1.20
    2.00 <?>     2.20 =    -0.20
    3.00 <?>     2.20 =     0.80
    4.00 <?>     2.20 =     1.80
 1000.00 <?>     2.20 =   997.80
 1001.00 <?>     2.20 =   998.80
 1002.00 <?>     2.20 =   999.80
 1003.00 <?>     2.20 =  1000.80
 1004.00 <?>     2.20 =  1001.80
 2000.00 <?>     2.20 =  1997.80
 2001.00 <?>     2.20 =  1998.80
 2002.00 <?>     2.20 =  1999.80
 2003.00 <?>     2.20 =  2000.80
 2004.00 <?>     2.20 =  2001.80
 3000.00 <?>     2.20 =  2997.80
 3001.00 <?>     2.20 =  2998.80
 3002.00 <?>     2.20 =  2999.80
 3003.00 <?>     2.20 =  3000.80
 3004.00 <?>     2.20 =  3001.80
 4000.00 <?>     2.20 =  3997.80
 4001.00 <?>     2.20 =  3998.80
 4002.00 <?>     2.20 =  3999.80
 4003.00 <?>     2.20 =  4000.80
 4004.00 <?>     2.20 =  4001.80
 5000.00 <?>     2.20 =  4997.80
 5001.00 <?>     2.20 =  4998.80
 5002.00 <?>     2.20 =  4999.80
 5003.00 <?>     2.20 =  5000.80
 5004.00 <?>     2.20 =  5001.80
 6000.00 <?>     2.20 =  5997.80
 6001.00 <?>     2.20 =  5998.80
 6002.00 <?>     2.20 =  5999.80
 6003.00 <?>     2.20 =  6000.80
 6004.00 <?>     2.20 =  6001.80
 7000.00 <?>     2.20 =  6997.80
 7001.00 <?>     2.20 =  6998.80
 7002.00 <?>     2.20 =  6999.80
 7003.00 <?>     2.20 =  7000.80
 7004.00 <?>     2.20 =  7001.80
 8000.00 <?>     2.20 =  7997.80
 8001.00 <?>     2.20 =  7998.80
 8002.00 <?>     2.20 =  7999.80
 8003.00 <?>     2.20 =  8000.80
 8004.00 <?>     2.20 =  8001.80
 9000.00 <?>     2.20 =  8997.80
 9001.00 <?>     2.20 =  8998.80
 9002.00 <?>     2.20 =  8999.80
 9003.00 <?>     2.20 =  9000.80
 9004.00 <?>     2.20 =  9001.80

>sample mul.cl
A.GetLength(0) = 10,A.GetLength(1) = 5
A.Length = 50
(A <?> B = C)

    0.00 <?>     2.20 =     0.00
    1.00 <?>     2.20 =     2.20
    2.00 <?>     2.20 =     4.40
    3.00 <?>     2.20 =     6.60
    4.00 <?>     2.20 =     8.80
 1000.00 <?>     2.20 =  2200.00
 1001.00 <?>     2.20 =  2202.20
 1002.00 <?>     2.20 =  2204.40
 1003.00 <?>     2.20 =  2206.60
 1004.00 <?>     2.20 =  2208.80
 2000.00 <?>     2.20 =  4400.00
 2001.00 <?>     2.20 =  4402.20
 2002.00 <?>     2.20 =  4404.40
 2003.00 <?>     2.20 =  4406.60
 2004.00 <?>     2.20 =  4408.80
 3000.00 <?>     2.20 =  6600.00
 3001.00 <?>     2.20 =  6602.20
 3002.00 <?>     2.20 =  6604.40
 3003.00 <?>     2.20 =  6606.60
 3004.00 <?>     2.20 =  6608.80
 4000.00 <?>     2.20 =  8800.00
 4001.00 <?>     2.20 =  8802.20
 4002.00 <?>     2.20 =  8804.40
 4003.00 <?>     2.20 =  8806.60
 4004.00 <?>     2.20 =  8808.80
 5000.00 <?>     2.20 = 11000.00
 5001.00 <?>     2.20 = 11002.20
 5002.00 <?>     2.20 = 11004.40
 5003.00 <?>     2.20 = 11006.60
 5004.00 <?>     2.20 = 11008.80
 6000.00 <?>     2.20 = 13200.00
 6001.00 <?>     2.20 = 13202.20
 6002.00 <?>     2.20 = 13204.40
 6003.00 <?>     2.20 = 13206.60
 6004.00 <?>     2.20 = 13208.80
 7000.00 <?>     2.20 = 15400.00
 7001.00 <?>     2.20 = 15402.20
 7002.00 <?>     2.20 = 15404.40
 7003.00 <?>     2.20 = 15406.60
 7004.00 <?>     2.20 = 15408.80
 8000.00 <?>     2.20 = 17600.00
 8001.00 <?>     2.20 = 17602.20
 8002.00 <?>     2.20 = 17604.40
 8003.00 <?>     2.20 = 17606.60
 8004.00 <?>     2.20 = 17608.80
 9000.00 <?>     2.20 = 19800.00
 9001.00 <?>     2.20 = 19802.20
 9002.00 <?>     2.20 = 19804.40
 9003.00 <?>     2.20 = 19806.60
 9004.00 <?>     2.20 = 19808.80
